Streamer,Unique Viewers,Community,Shared Viewers with Elajjaz,Shared Viewers of Streamer with Elajjaz %,Shared Viewers of Elajjaz with Streamer in %
XcaliburYe,39220,6,458,1.2%,0.8%
maitoz,30289,14,446,1.5%,0.8%
twlevewinsHS,29196,23,445,1.5%,0.8%
BananaSlamJamma,37560,6,443,1.2%,0.8%
MacieJay,54230,62,443,0.8%,0.8%
Crystalst,46389,57,439,0.9%,0.8%
otplol_,163976,36,439,0.3%,0.8%
fuslie,155051,2,438,0.3%,0.8%
Preachlfw,15129,14,437,2.9%,0.8%
qttsix,26219,19,436,1.7%,0.8%
MiltonTPike1,24464,57,435,1.8%,0.8%
OhTofu,30003,47,431,1.4%,0.8%
AdrianaChechik_,53981,8,431,0.8%,0.8%
TolkinLoL,64163,35,431,0.7%,0.8%
tarzaned,45964,10,424,0.9%,0.8%
JERICHO,24953,58,422,1.7%,0.8%
ShahZaM,147968,18,422,0.3%,0.8%
Spaceboy,28458,57,418,1.5%,0.8%
HutchMF,57152,57,417,0.7%,0.8%
cdewx,39359,14,415,1.1%,0.8%
alexelcapo,109767,12,414,0.4%,0.7%
Gaules,483867,74,412,0.1%,0.7%
SheriffEli,14694,18,408,2.8%,0.7%
OfficialAndyPyro,33400,58,407,1.2%,0.7%
Kiyoon,36953,10,406,1.1%,0.7%
agurin,47652,35,404,0.8%,0.7%
Caedrel,30036,10,403,1.3%,0.7%
ds_lily,12082,14,400,3.3%,0.7%
Back2Warcraft,15855,14,396,2.5%,0.7%
mang0,31906,51,396,1.2%,0.7%
xChocoBars,86981,2,395,0.5%,0.7%
SirhcEz,19953,10,393,2.0%,0.7%
Emongg,43221,26,393,0.9%,0.7%
CrReaM,11702,3,391,3.3%,0.7%
Bronx,18523,47,391,2.1%,0.7%
P4wnyhof,22461,42,391,1.7%,0.7%
Grossie_Gore,31445,10,391,1.2%,0.7%
LaeppaStream,9796,58,390,4.0%,0.7%
k3soju,35011,10,390,1.1%,0.7%
chessbrah,41653,44,390,0.9%,0.7%
Chess,32143,44,389,1.2%,0.7%
AntoineDanielLive,64260,36,388,0.6%,0.7%
Naowh,34568,14,387,1.1%,0.7%
Tonton,43973,36,383,0.9%,0.7%
Agraelus,58022,61,383,0.7%,0.7%
daltoosh,97594,17,383,0.4%,0.7%
PUBG,60086,18,382,0.6%,0.7%
Kamet0,197487,36,382,0.2%,0.7%
veibae,11295,3,381,3.4%,0.7%
Jayce,33708,57,379,1.1%,0.7%
Biotoxz_,27431,57,378,1.4%,0.7%
Hungrybox,28411,51,376,1.3%,0.7%
mistafaker,18252,43,375,2.1%,0.7%
GronkhTV,49373,35,375,0.8%,0.7%
Recrent,107359,43,375,0.3%,0.7%
segall,14587,43,372,2.6%,0.7%
iddqd,16481,26,372,2.3%,0.7%
projektmelody,21618,3,372,1.7%,0.7%
iLame,40015,43,371,0.9%,0.7%
ELoTRiX,120459,35,370,0.3%,0.7%
Albralelie,77403,17,369,0.5%,0.7%
Aydan,267231,42,369,0.1%,0.7%
EternaLEnVyy,24395,6,368,1.5%,0.7%
CallMeKevin,40431,51,367,0.9%,0.7%
JoshOG,24332,18,366,1.5%,0.7%
TEBtv,92237,58,364,0.4%,0.7%
ESL_CSGOb,51752,58,363,0.7%,0.7%
IFrostBolt,34143,31,362,1.1%,0.7%
chocoTaco,53183,18,362,0.7%,0.7%
CBLOL,283651,74,361,0.1%,0.7%
ibai,815421,12,361,0.0%,0.7%
SypherPK,293723,13,360,0.1%,0.7%
akaNemsko,49521,44,359,0.7%,0.6%
MurderCrumpet,11522,14,358,3.1%,0.6%
TSM_Viss,37683,17,358,1.0%,0.6%
5uppp,121435,2,358,0.3%,0.6%
DisguisedToast,49367,2,357,0.7%,0.6%
F1ashko,13979,43,356,2.5%,0.6%
Quantum,27404,10,354,1.3%,0.6%
QTCinderella,58672,51,354,0.6%,0.6%
Sloot,12181,14,352,2.9%,0.6%
KingGeorge,52521,62,352,0.7%,0.6%
AustinShow,67332,15,351,0.5%,0.6%
dopa24,94455,10,351,0.4%,0.6%
Mendo,28419,18,350,1.2%,0.6%
TommyKayLIVE,27945,51,347,1.2%,0.6%
DizzyKitten,20865,8,346,1.7%,0.6%
SaltyBet,15145,51,345,2.3%,0.6%
SmiteGame,49505,41,344,0.7%,0.6%
sleepy,50960,2,344,0.7%,0.6%
syndereN,13790,6,342,2.5%,0.6%
GingiTV,24134,14,342,1.4%,0.6%
Solary,80984,36,341,0.4%,0.6%
Alderiate,40837,36,339,0.8%,0.6%
AnniTheDuck,72383,35,339,0.5%,0.6%
Kephrii,27173,26,338,1.2%,0.6%
iZeroplus,43951,17,338,0.8%,0.6%
Ash_on_LoL,89863,2,338,0.4%,0.6%
pilavpowa,25698,14,337,1.3%,0.6%
Anna_Chess,32827,44,337,1.0%,0.6%
stormen,33697,17,337,1.0%,0.6%
Dota2RuHub,116553,43,337,0.3%,0.6%
ScreaM,68562,18,336,0.5%,0.6%
QuarterJade,89852,2,336,0.4%,0.6%
Swagg,295431,42,335,0.1%,0.6%
csgomc_ru,313086,43,334,0.1%,0.6%
QuickyBaby,28716,66,333,1.2%,0.6%
BeyondTheSummit,24779,6,332,1.3%,0.6%
kragiee,24960,26,332,1.3%,0.6%
Altair,21835,36,331,1.5%,0.6%
GernaderJake,37483,31,331,0.9%,0.6%
keanelol,29146,10,330,1.1%,0.6%
puncayshun,10999,7,329,3.0%,0.6%
Joueur_du_Grenier,43638,36,329,0.8%,0.6%
Castro_1021,197432,34,329,0.2%,0.6%
yvonnie,63321,2,327,0.5%,0.6%
Tylerootd,20673,23,325,1.6%,0.6%
GMNaroditsky,34062,44,325,1.0%,0.6%
TrilluXe,43864,35,325,0.7%,0.6%
Etoiles,74002,36,325,0.4%,0.6%
snuffy,24299,3,324,1.3%,0.6%
Pink_Sparkles,42861,8,324,0.8%,0.6%
kennyS,103469,58,324,0.3%,0.6%
Drjayfisto,30993,14,323,1.0%,0.6%
Staiy,34974,35,323,0.9%,0.6%
shadder2k,17640,26,321,1.8%,0.6%
mL7support,36894,26,321,0.9%,0.6%
Blaustoise,61141,57,321,0.5%,0.6%
bananabrea,42272,57,320,0.8%,0.6%
MuTeX,130118,42,320,0.2%,0.6%
saintvicious,16851,2,319,1.9%,0.6%
Wolfabelle,31072,2,319,1.0%,0.6%
Subroza,102514,18,319,0.3%,0.6%
Ray__C,47062,57,318,0.7%,0.6%
just_ns,52031,43,318,0.6%,0.6%
knekro,103823,12,317,0.3%,0.6%
Cellbit,161857,74,317,0.2%,0.6%
Gotaga,337512,36,317,0.1%,0.6%
Kiva,18064,57,316,1.7%,0.6%
Broeki1,36998,35,316,0.9%,0.6%
YoDa,212120,74,316,0.1%,0.6%
NiceWigg,71766,17,315,0.4%,0.6%
souless,24006,10,314,1.3%,0.6%
sakuramiko_hololive,30559,19,311,1.0%,0.6%
GrandPOObear,15837,51,308,1.9%,0.6%
Loeya,60015,13,308,0.5%,0.6%
Ziggy,24688,57,307,1.2%,0.6%
Jay3,39677,26,305,0.8%,0.6%
H2P_Gucio,42261,44,305,0.7%,0.6%
fl0m,32517,58,304,0.9%,0.5%
HealthyGamer_GG,16279,7,302,1.9%,0.5%
AnneMunition,19542,31,301,1.5%,0.5%
notmes,25259,14,301,1.2%,0.5%
KarasMai,35714,10,301,0.8%,0.5%
Xari,67367,36,301,0.4%,0.5%
